@ pixel(129,99), Ray: origin=[ 1.5635, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(130,99), Ray: origin=[ 1.6165, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(131,99), Ray: origin=[ 1.6695, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(132,99), Ray: origin=[ 1.7225, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(133,99), Ray: origin=[ 1.7755, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(134,99), Ray: origin=[ 1.8285, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(135,99), Ray: origin=[ 1.8815, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(136,99), Ray: origin=[ 1.9345, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(137,99), Ray: origin=[ 1.9875, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(138,99), Ray: origin=[ 2.0405, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(139,99), Ray: origin=[ 2.0935, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(140,99), Ray: origin=[ 2.1465, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(141,99), Ray: origin=[ 2.1995, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(142,99), Ray: origin=[ 2.2525, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(143,99), Ray: origin=[ 2.3055, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(144,99), Ray: origin=[ 2.3585, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(145,99), Ray: origin=[ 2.4115, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(146,99), Ray: origin=[ 2.4645, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
